Code_Article,Libelle_Article,Rayon,Famille,Sous famille,Categorie,Sous_Categorie
660080017,"Eau Minerale MARWA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660080087,Eau Minerale GARCI Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080108,Eau Minerale JANNET Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080127,"Eau Minerale AQUALINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080137,Eau Minerale AQUALINE Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080147,"Eau Minerale AQUALINE Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660080156,Eau de Source JEKTISS Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320501 - EAUX DE SOURCE PLATES,11732050103 - UN LITRE ET PLUS,1173205010358 - 100CL ET PLUS
660080197,"Eau Minerale SAFIA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
660080207,"Eau Minerale SAFIA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080227,"Eau Minerale SABRINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080287,"Eau Minerale FOURAT Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080317,Eau Minerale FOURAT Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080337,Eau Minerale MARWA Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080347,"Eau Minerale MARWA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080387,Eau Minerale DIMA Pet 2 L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080417,Eau de Minerale MELLITI PET 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS
660080437,"EAU DE Minerale MELLITI PET 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL
