Code_Article,Nom_Produit,Description_Produit,Categorie 1,Categorie 2,Categorie,Sous_Categorie,combined,similar_product_in_dataset2,Prix_Produit_dataset2,Description_Produit_dataset2,Source_dataset2,Site_dataset2,Categorie_dataset2,Lien_Categorie1_dataset2,Categorie 1_dataset2,Lien_Categorie2_dataset2,Categorie 2_dataset2,Lien_Categorie3_dataset2,Categorie 3_dataset2,Nom_Produit_dataset2,Lien_Produit_dataset2,Description_Produit_dataset2,Prix_Produit_dataset2,Marque_Produit_dataset2,combined_dataset2
660080017.0,"Eau Minerale MARWA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,"nom_produit : eau minerale marwa pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale DENYA 2L,https://www.carrefour.tn/default/eau-minerale-denya-2l-2l-6191466400030.html,La bouteille de 2L,0 dt 780,DENYA,nom_produit : eau minérale denya 2l description_produit : la bouteille de 2l marque_produit : denya categorie 1: eaux categorie 2 : minérales
660080087.0,Eau Minerale GARCI Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale garci pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale MARWA 0.75L,https://www.carrefour.tn/default/eau-minerale-marwa-6194001800746.html,La bouteille de 0.75L,0 dt 450,MARWA,nom_produit : eau minérale marwa 0.75l description_produit : la bouteille de 0.75l marque_produit : marwa categorie 1: eaux categorie 2 : minérales
660080108.0,Eau Minerale JANNET Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale jannet pet 2l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PRISTINE 2L,https://www.carrefour.tn/default/eau-minerale-pristine-2l-2l-6191467300049.html,La bouteille de 2L,0 dt 820,PRISTINE,nom_produit : eau minérale pristine 2l description_produit : la bouteille de 2l marque_produit : pristine categorie 1: eaux categorie 2 : minérales
660080127.0,"Eau Minerale AQUALINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale aqualine pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale CRISTALINE 2L,https://www.carrefour.tn/default/eau-minerale-cristaline-2l-2l-6194001801101.html,La bouteille de 2L,0 dt 810,CRISTALINE,nom_produit : eau minérale cristaline 2l description_produit : la bouteille de 2l marque_produit : cristaline categorie 1: eaux categorie 2 : minérales
660080137.0,Eau Minerale AQUALINE Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale aqualine pet 2l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale MAY TUNISIA 1.5L,https://www.carrefour.tn/default/eau-minerale-may-tunisia-1.5l-1.5l-6191417200047.html,La bouteille de 1.5L,0 dt 730,MAY TUNISIA,nom_produit : eau minérale may tunisia 1.5l description_produit : la bouteille de 1.5l marque_produit : may tunisia categorie 1: eaux categorie 2 : minérales
660080147.0,"Eau Minerale AQUALINE Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,"nom_produit : eau minerale aqualine pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale DENYA 2.25L,https://www.carrefour.tn/default/eau-minerale-denya-2.25l-2.25l-6191466400092.html,La bouteille de 2.25L,0 dt 780,DENYA,nom_produit : eau minérale denya 2.25l description_produit : la bouteille de 2.25l marque_produit : denya categorie 1: eaux categorie 2 : minérales
660080156.0,Eau de Source JEKTISS Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320501 - EAUX DE SOURCE PLATES,11732050103 - UN LITRE ET PLUS,1173205010358 - 100CL ET PLUS,nom_produit : eau de source jektiss pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320501 - eaux de source plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale MIRA 1.5L,https://www.carrefour.tn/default/eau-minerale-mira-1.5l-null-6191428900080.html,La bouteille de 1.5L,0 dt 700,MIRA,nom_produit : eau minérale mira 1.5l description_produit : la bouteille de 1.5l marque_produit : mira categorie 1: eaux categorie 2 : minérales
660080197.0,"Eau Minerale SAFIA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,"nom_produit : eau minerale safia pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale DENYA 1.75L,https://www.carrefour.tn/default/eau-minerale-denya-1.75l-1.75l-6191466400108.html,La bouteille de 1.75L,0 dt 680,DENYA,nom_produit : eau minérale denya 1.75l description_produit : la bouteille de 1.75l marque_produit : denya categorie 1: eaux categorie 2 : minérales
660080207.0,"Eau Minerale SAFIA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale safia pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale MIRA de 0.95L,https://www.carrefour.tn/default/eau-minerale-mira-de-0.95l-0.95l-6191428900103.html,La bouteille de 0.95L,0 dt 610,MIRA,nom_produit : eau minérale mira de 0.95l description_produit : la bouteille de 0.95l marque_produit : mira categorie 1: eaux categorie 2 : minérales
660080227.0,"Eau Minerale SABRINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale sabrine pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale AQUALINE 1L,https://www.carrefour.tn/default/eau-minerale-aqualine-1l-1l-6191556500084.html,La bouteille de 1L,0 dt 570,AQUALINE,nom_produit : eau minérale aqualine 1l description_produit : la bouteille de 1l marque_produit : aqualine categorie 1: eaux categorie 2 : minérales
