Code_Article,Libelle_Article,Rayon,Famille,Sous famille,Categorie,Sous_Categorie,Prix,combined,similar_product_in_dataset2,Prix_Produit_dataset2,Description_Produit_dataset2,similar_product_in_dataset3,Prix_Produit_dataset3,Prix_Produit_Avant_Promos_dataset3,Description_Produit_dataset3
665040907,BIERE SA MOJITO CELESTIA BLLE 25CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1620,nom_produit : biere sa mojito celestia blle 250.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,Boisson non alcoolisée à base de malt Mojito Celestia,1.590 TND,none, 25cl
665040917,BIERE SA FRAISE GRENADE CELESTIA BLLE 25CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1470,nom_produit : biere sa fraise grenade celestia blle 250.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,Boisson non alcoolisée à base de malt Fraise et Grenade Celestia,1.590 TND,none, 25cl
665080038,Biere S.A CELESTIA blle 25CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1620,nom_produit : biere s.a celestia blle 250.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,Boisson non alcoolisée à base de malt Citron Celestia,1.590 TND,none, 25cl
665080057,Biere S.A Citron CELESTIA blle 25CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1550,nom_produit : biere s.a citron celestia blle 250.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,Boisson non alcoolisée à base de malt Citron Celestia,1.590 TND,none, 25cl
665080067,Biere S.A CELESTIA bte 24CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1420,nom_produit : biere s.a celestia bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,Boisson non alcoolisée à base de malt Celestia,1.420 TND,none, 24cl
665080077,Biere S.A CELESTIA MOJITO bte 24CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1390,nom_produit : biere s.a celestia mojito bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,Boisson non alcoolisée à base de malt Celestia,1.420 TND,none, 24cl
665080087,Biere S.A CELESTIA bte FRAISE GRENADE 24CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1390,nom_produit : biere s.a celestia bte fraise grenade 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,,,,
665080097,Biere S.A CELESTIA Citron bte 24CL,1173 - LIQUIDES NON ALCOOLISES,1173199 - BIERES SANS ALCOOL,117319901 - BIERES SANS ALCOOL,11731990101 - BIERES SANS ALCOOL,1173199010103 - 25 CL,1390,nom_produit : biere s.a celestia citron bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173199 - bieres sans alcool categorie 2 : 117319901 - bieres sans alcool,,,,,,,
662100027,B.Gaz Lime BOGA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2360,nom_produit : b.gaz lime boga pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes,,,,,,,
662100547,"B.Gaz Lime BOGA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,3030,"nom_produit : b.gaz lime boga pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes",,,,,,,
