Source_dataset2,Site_dataset2,Categorie_dataset2,Lien_Categorie1_dataset2,Categorie 1_dataset2,Lien_Categorie2_dataset2,Categorie 2_dataset2,Lien_Categorie3_dataset2,Categorie 3_dataset2,Nom_Produit_dataset2,Lien_Produit_dataset2,Description_Produit_dataset2,Prix_Produit_dataset2,Marque_Produit_dataset2,combined_dataset2
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale DENYA 2L,https://www.carrefour.tn/default/eau-minerale-denya-2l-2l-6191466400030.html,La bouteille de 2L,0 dt 780,DENYA,nom_produit : eau minérale denya 2l description_produit : la bouteille de 2l marque_produit : denya categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale MARWA 0.75L,https://www.carrefour.tn/default/eau-minerale-marwa-6194001800746.html,La bouteille de 0.75L,0 dt 450,MARWA,nom_produit : eau minérale marwa 0.75l description_produit : la bouteille de 0.75l marque_produit : marwa categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale PRISTINE 2L,https://www.carrefour.tn/default/eau-minerale-pristine-2l-2l-6191467300049.html,La bouteille de 2L,0 dt 820,PRISTINE,nom_produit : eau minérale pristine 2l description_produit : la bouteille de 2l marque_produit : pristine categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale CRISTALINE 2L,https://www.carrefour.tn/default/eau-minerale-cristaline-2l-2l-6194001801101.html,La bouteille de 2L,0 dt 810,CRISTALINE,nom_produit : eau minérale cristaline 2l description_produit : la bouteille de 2l marque_produit : cristaline categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale MAY TUNISIA 1.5L,https://www.carrefour.tn/default/eau-minerale-may-tunisia-1.5l-1.5l-6191417200047.html,La bouteille de 1.5L,0 dt 730,MAY TUNISIA,nom_produit : eau minérale may tunisia 1.5l description_produit : la bouteille de 1.5l marque_produit : may tunisia categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale DENYA 2.25L,https://www.carrefour.tn/default/eau-minerale-denya-2.25l-2.25l-6191466400092.html,La bouteille de 2.25L,0 dt 780,DENYA,nom_produit : eau minérale denya 2.25l description_produit : la bouteille de 2.25l marque_produit : denya categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale MIRA 1.5L,https://www.carrefour.tn/default/eau-minerale-mira-1.5l-null-6191428900080.html,La bouteille de 1.5L,0 dt 700,MIRA,nom_produit : eau minérale mira 1.5l description_produit : la bouteille de 1.5l marque_produit : mira categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale DENYA 1.75L,https://www.carrefour.tn/default/eau-minerale-denya-1.75l-1.75l-6191466400108.html,La bouteille de 1.75L,0 dt 680,DENYA,nom_produit : eau minérale denya 1.75l description_produit : la bouteille de 1.75l marque_produit : denya categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale MIRA de 0.95L,https://www.carrefour.tn/default/eau-minerale-mira-de-0.95l-0.95l-6191428900103.html,La bouteille de 0.95L,0 dt 610,MIRA,nom_produit : eau minérale mira de 0.95l description_produit : la bouteille de 0.95l marque_produit : mira categorie 1: eaux categorie 2 : minérales
Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minerales,,,Eau minerale AQUALINE 1L,https://www.carrefour.tn/default/eau-minerale-aqualine-1l-1l-6191556500084.html,La bouteille de 1L,0 dt 570,AQUALINE,nom_produit : eau minérale aqualine 1l description_produit : la bouteille de 1l marque_produit : aqualine categorie 1: eaux categorie 2 : minérales
