Source_dataset3,Site_dataset3,Catgeorie_dataset3,Lien_Categorie_dataset3,Categorie 1_dataset3,Lien_Categorie1_dataset3,Categorie 2_dataset3,Categorie 3_dataset3,Lien_Produit_dataset3,Nom_Produit_dataset3,Description_Produit_dataset3,Prix_Produit_dataset3,Prix_Produit_Avant_Promos_dataset3,Promo_Produit_dataset3,Poids/Quantite_dataset3,Reference_Produit_dataset3,Vendu par MG_dataset3,combined_dataset3
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/eau-plate/eau-minerale-jannet,Eau minerale Jannet, 2L,0.850 TND,none,NON,2L,SKU: 89,OUI,nom_produit : eau minérale jannet description_produit :  2l categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/eau-plate/cup-eau-minerale-delice,Cup Eau minerale Delice, 250ml,0.300 TND,none,NON,250ml,SKU: 10002507,NON,nom_produit : cup eau minérale délice description_produit :  250.0ml categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/eau-plate/eau-minerale-marwa-0,Eau minerale Marwa, 1.5L,0.630 TND,none,NON,1.5L,SKU: 92,OUI,nom_produit : eau minérale marwa description_produit :  1.5l categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/eau-plate/eau-minerale-cristaline-2,Eau minerale Cristaline, 1.5L,0.630 TND,none,NON,1.5L,SKU: 6822,OUI,nom_produit : eau minérale cristaline description_produit :  1.5l categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/eau-plate/eau-de-source-naturelle-delice,Eau de source naturelle Delice," 0,5L",0.350 TND,none,NON,"0,5L",SKU: 10002341,OUI,"nom_produit : eau de source naturelle délice description_produit :  0,5l categorie 1: alimentation categorie 2 : boissons"
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/eau-plate/eau-minerale-safia-0,Eau minerale Safia, 1.5L,0.680 TND,none,NON,1.5L,SKU: 84,OUI,nom_produit : eau minérale safia description_produit :  1.5l categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/boissons-eau-plate/eau-minerale-sabrine,Eau minerale Sabrine., 1.5L,0.650 TND,none,NON,1.5L,SKU: 82,NON,nom_produit : eau minérale sabrine. description_produit :  1.5l categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,eau-plate,https://alimentation.founa.com/rayons/boissons/eau-plate,alimentation,https://alimentation.founa.com,boissons,eau-plate,https://alimentation.founa.com/glacons-eau-plate-jus-et-nectars-boissons-gazeuses/glacon-alimentaire-purifie,Glacon Alimentaire Purifie,"Les glacons sont fabriques a base d’eau potable filtree par osmose inverse.Ils ont un aspect cristallin, durent plus longtemps et n'ont aucun arriere gout.Leur forme cylindrique avec un petit trou au centre assurent une plus grande transparence.A conserver entre -10°C et -18°C 2kg",2.500 TND,none,NON,2kg,SKU: 49886,NON,"nom_produit : glaçon alimentaire purifié description_produit : les glaçons sont fabriqués à base d’eau potable filtrée par osmose inverse.ils ont un aspect cristallin, durent plus longtemps et n'ont aucun arrière goût.leur forme cylindrique avec un petit trou au centre assurent une plus grande transparence.a conserver entre -10°c et -18°c 2000.0g categorie 1: alimentation categorie 2 : boissons"
Founa,https://index.founa.com/,lait,https://alimentation.founa.com/rayons/boissons/lait,alimentation,https://alimentation.founa.com,boissons,lait,https://alimentation.founa.com/lait-concentre-sucre-lait-lait/lait-concentre-sucre-vanoise,Lait Concentre Sucre Vanoise, 395g,8.890 TND,none,NON,395g,SKU: 11000649,OUI,nom_produit : lait concentré sucré vanoise description_produit :  395.0g categorie 1: alimentation categorie 2 : boissons
Founa,https://index.founa.com/,lait,https://alimentation.founa.com/rayons/boissons/lait,alimentation,https://alimentation.founa.com,boissons,lait,https://alimentation.founa.com/lait-lait/lait-demi-ecreme-enrichi-en-zinc-et-vitamine-d3-delice-plus,Lait demi-ecreme enrichi en Zinc et Vitamine D3 Delice Plus, 1L,2.350 TND,none,NON,1L,SKU: 12003402,OUI,nom_produit : lait demi-écrémé enrichi en zinc et vitamine d3 délice plus description_produit :  1l categorie 1: alimentation categorie 2 : boissons
